tempo= 125
308.5229166666667 j
308.9583333333333 x
309.3958333333333 H
309.7395833333333 k
310.0833333333333 d
310.3666666666667 H
310.5854166666667 S
310.8541666666667 G
311.09375 p
311.3541666666667 f
311.59375 O
311.8541666666667 a
312.1166666666667 y
312.3666666666667 O
312.5854166666667 T
312.8125 I
313.0541666666667 e
313.32916666666665 u
313.56666666666666 Q
313.81458333333336 r
314.0541666666667 9
314.3125 W
314.53125 *
314.7916666666667 Q
315.025 6
315.26666666666665 0
315.5125 %
315.7416666666667 7
315.9895833333333 !
316.3208333333333 $
316.3541666666667 $
318.525 I
318.55833333333334 T
318.56875 e
318.60625 S
318.63125 p
318.6375 G
318.6458333333333 j
321.475 Q
321.5125 $
321.5541666666667 $
